image_path,description,relevance_detail,hallucination,fluency
static/fmow_stadium_211_3_msrgb.jpg,"orbiting above Briarwood, United States during Summer, the sensor detected stadium at the center and bottom-center blocks of the frame. ensuring granular detail, the image's ground sample distance stands at 2.60m. its geospatial tag corresponds to utm zone 18T and records the date as 15 o'clock, June 9, 2016. amidst 0% cloud cover, the scan was done forward. noteworthy angles are target azimuth: 314.30? and off-nadir: 33.10?. this satellite image shows the campus",5,4,5
static/fmow_stadium_240_0_msrgb.jpg,"a satellite snapshot over Washington, D.C., United States in Summer displayed the presence of stadium at the center and center-left blocks. its clarity is confirmed with a ground sample distance of 2.14m. this piece of remote sensing data is associated with utm zone 18S, recorded at 16 o'clock, June 1, 2014. environmental conditions included a 0% cloud coverage and forward scan direction. relevant angles for orientation were target azimuth at 112.72? and off-nadir at 22.52?. a satellite view of the city of san francisco",4,3,5
static/millionaid_P0173410.jpg,an aerial view of a baseball diamond,3,2,5
static/millionaid_P0773445.jpg,a aerial view of a school with an outdoor pool,2,3,5
static/fmow_crop_field_5641_2_msrgb.jpg,"during a flyby over Refrontolo, Italy in Fall, the sensors detected crop_field prominently positioned in the center and top-left blocks. this detailed observation has a ground sample distance of 2.13m. the snapshot belongs to utm zone 33T and was marked at 10 o'clock, October 3, 2014. the day of the capture had a cloudiness of 15%, and the sensors worked in a reverse manner. crucial angles during this observation include target azimuth at 337.85? and off-nadir at 21.75?. a satellite image of the farm",5,5,5
static/fmow_place_of_worship_3025_6_rgb.jpg,"from high above Blackheath, United Kingdom during Fall, the image captured place_of_worship residing at the center and top-left blocks. its resolution is denoted with a ground sample distance of 2.07m. the geo-tag is referenced to utm zone 31U with a date stamp of 11 o'clock, October 22, 2011. clouds made up 0% of the sky, with the scan direction set reverse. orientation angles stood at target azimuth: 22.10? and off-nadir: 19.52?. a satellite view of a house with multiple cars parked on the street",5,5,5
static/millionaid_P0228069.jpg,a google earth photo of the neighborhood of houses,4,5,5
static/fmow_storage_tank_343_1_rgb.jpg,"a snapshot from space over Sosnogorsk, Russian Federation in Summer gave us a clear view of storage_tank at the center and top-left blocks. its resolution is benchmarked by a ground sample distance of 1.87m. it's aligned with utm zone 39V and carries the timestamp 8 o'clock, August 2, 2014. during a 0% cloud cover, the scan direction was reverse. the angles recorded were target azimuth: 87.07? and off-nadir: 2.64?. a satellite view of a water storage building and a few trees",5,5,5
static/millionaid_P0851723.jpg,a satellite image of an outdoor parking lot at an elementary school,5,4,5
static/millionaid_P0380652.jpg,an aerial image of a field,4,5,5
