name,caption
fmow_stadium_211_3_msrgb.jpg,"orbiting above Briarwood, United States during Summer, the sensor detected stadium at the center and bottom-center blocks of the frame. ensuring granular detail, the image's ground sample distance stands at 2.60m. its geospatial tag corresponds to utm zone 18T and records the date as 15 o'clock, June 9, 2016. amidst 0% cloud cover, the scan was done forward. noteworthy angles are target azimuth: 314.30? and off-nadir: 33.10?. this satellite image shows the campus"
fmow_stadium_240_0_msrgb.jpg,"a satellite snapshot over Washington, D.C., United States in Summer displayed the presence of stadium at the center and center-left blocks. its clarity is confirmed with a ground sample distance of 2.14m. this piece of remote sensing data is associated with utm zone 18S, recorded at 16 o'clock, June 1, 2014. environmental conditions included a 0% cloud coverage and forward scan direction. relevant angles for orientation were target azimuth at 112.72? and off-nadir at 22.52?. a satellite view of the city of san francisco"
millionaid_P0173410.jpg,an aerial view of a baseball diamond
millionaid_P0773445.jpg,a aerial view of a school with an outdoor pool
fmow_crop_field_5641_2_msrgb.jpg,"during a flyby over Refrontolo, Italy in Fall, the sensors detected crop_field prominently positioned in the center and top-left blocks. this detailed observation has a ground sample distance of 2.13m. the snapshot belongs to utm zone 33T and was marked at 10 o'clock, October 3, 2014. the day of the capture had a cloudiness of 15%, and the sensors worked in a reverse manner. crucial angles during this observation include target azimuth at 337.85? and off-nadir at 21.75?. a satellite image of the farm"
fmow_place_of_worship_3025_6_rgb.jpg,"from high above Blackheath, United Kingdom during Fall, the image captured place_of_worship residing at the center and top-left blocks. its resolution is denoted with a ground sample distance of 2.07m. the geo-tag is referenced to utm zone 31U with a date stamp of 11 o'clock, October 22, 2011. clouds made up 0% of the sky, with the scan direction set reverse. orientation angles stood at target azimuth: 22.10? and off-nadir: 19.52?. a satellite view of a house with multiple cars parked on the street"
millionaid_P0228069.jpg,a google earth photo of the neighborhood of houses
fmow_storage_tank_343_1_rgb.jpg,"a snapshot from space over Sosnogorsk, Russian Federation in Summer gave us a clear view of storage_tank at the center and top-left blocks. its resolution is benchmarked by a ground sample distance of 1.87m. it's aligned with utm zone 39V and carries the timestamp 8 o'clock, August 2, 2014. during a 0% cloud cover, the scan direction was reverse. the angles recorded were target azimuth: 87.07? and off-nadir: 2.64?. a satellite view of a water storage building and a few trees"
millionaid_P0851723.jpg,a satellite image of an outdoor parking lot at an elementary school
millionaid_P0380652.jpg,an aerial image of a field
millionaid_P0140597.jpg,aerial view of high school track
ben_258884.jpg,"this satellite image from the Summer season, highlighting the 'sea and ocean' class, belongs to utm zone 29N and carries the timestamp 11 o'clock, July 18, 2017. light blue, a navy fabric"
fmow_barn_263_3_msrgb.jpg,"a detailed glimpse of Pieve Emanuele, Italy's Summer showcased barn at the center and top-left blocks, thanks to the satellite's lens. ensuring the details, the ground sample distance is marked at 1.72m. geospatial metadata includes utm zone 32T and capture time 10 o'clock, August 6, 2016. the day recorded a cloud cover of 0%, with the equipment set in the reverse direction. significant angles that defined this frame were target azimuth: 155.48? and off-nadir: 12.61?. the village of puchencei, in a satellite image"
fmow_race_track_640_3_rgb.jpg,"Chafford Hundred, United Kingdom's terrain in Fall was imaged, depicting race_track in the center and center-left blocks. ensuring granularity, the ground sample distance stands at 2.01m. geospatial insights reference it to utm zone 31U, captured at 11 o'clock, September 15, 2012. atmospheric conditions denote 0% cloud cover, and it was scanned in the forward direction. pivotal angles included are target azimuth at 318.29? and off-nadir at 16.58?. a satellite view of a racing track with cars on the side"
millionaid_P0154519.jpg,the location and date when the aerial photo was taken
fmow_water_treatment_facility_924_0_rgb.jpg,"from an orbital perspective, the Spring of Lamont, United States presented water_treatment_facility distinctly at the center and center-right blocks. this image boasts a ground sample distance of 2.18m. for geospatial referencing, it's tied to utm zone 11S and was captured at 18 o'clock, April 16, 2016. clouds occupied 1% of the sky, with the equipment scanning in the forward direction. pivotal angles for this capture were a target azimuth of 201.99? and an off-nadir angle of 23.85?. a satellite map shows two buildings and fields with water"
millionaid_P0286421.jpg,a view from the satellite over a beach
millionaid_P0523782.jpg,this is an aerial shot of a roundabout
fmow_ground_transportation_station_607_5_rgb.jpg,"during Fall in Balwyn, Australia, the satellite spotted ground_transportation_station located towards the center and top-left blocks. every pixel in this image corresponds to 1.31m on the ground. this capture, time-stamped at 0 o'clock, September 17, 2016, is referenced in utm zone 55H. additionally, the scan took place in a reverse direction with a cloud cover rate of 9%. angles defining this shot include a target azimuth of 268.33? and off-nadir angle of 12.55?. this is a picture of a satellite view of a house with a train track"
millionaid_P0701512.jpg,google earth image of a train traveling through the woods
fmow_stadium_127_3_msrgb.jpg,"the dataset showcases stadium located at center and top-center blocks in an image from Sant Andreu, Spain, taken during Winter. it boasts a ground sample distance of 2.34m, logged under utm zone 31T on 11 o'clock, January 30, 2016. observed cloud cover: 0%, scanning was executed in the forward with angles: target azimuth: 55.71? and off-nadir: 28.06?. an aerial view of city with a soccer field"
millionaid_P0434001.jpg,a satellite image of a beach and runway
fmow_single-unit_residential_1924_2_msrgb.jpg,"an image captured in Yanaul, Russian Federation during Spring reveals single-unit_residential positioned at the center and top-left blocks. it was taken with a ground sample distance of 1.28m, specifically in the utm zone 40V at 7 o'clock, April 13, 2016. notable conditions include a cloud cover rate of 2%, scan direction facing forward, target azimuth angle of 103.36?, and an off-nadir angle of 10.65?. a satellite image of many houses in this village"
millionaid_P0374930.jpg,a satellite photo of a building with several water tanks
millionaid_P0480392.jpg,souraku stadium oita
fmow_ground_transportation_station_139_3_msrgb.jpg,"orbiting above Punto Fijo, Venezuela, Bolivarian Republic of during Spring, the sensor detected ground_transportation_station at the center and center-left blocks of the frame. ensuring granular detail, the image's ground sample distance stands at 2.13m. its geospatial tag corresponds to utm zone 19P and records the date as 15 o'clock, March 25, 2016. amidst 7% cloud cover, the scan was done reverse. noteworthy angles are target azimuth: 200.13? and off-nadir: 30.31?. satellite images are shown in this photo of the city"
fmow_barn_917_9_rgb.jpg,"a top-down perspective of Reykjav?k, Iceland during Summer showcases barn at the center and top-left blocks. it is defined with a ground sample distance of 2.11m. geospatially, it's associated with utm zone 27W, timestamped on 13 o'clock, July 7, 2016. cloud cover was recorded at 2%, with the scanner's direction being reverse. important angles in the metadata are target azimuth: 110.18? and off-nadir: 28.20?. a 3d satellite image shows a farm and a large open area"
ben_550190.jpg,"from the Spring season, this satellite image labeled 'discontinuous urban fabric, olive groves, annual crops associated with permanent crops, complex cultivation patterns, land principally occupied by agriculture, with significant areas of natural vegetation, mixed forest' originates from the 29N utm zone, dated 11 o'clock, May 15, 2018. an aerial photograph taken from a satellite"
millionaid_P0613211.jpg,an aerial view of a solar farm on the side of a freeway
fmow_swimming_pool_938_1_rgb.jpg,"from an orbital perspective, the Fall of Bonn, Germany presented swimming_pool distinctly at the center and top-left blocks. this image boasts a ground sample distance of 2.02m. for geospatial referencing, it's tied to utm zone 32U and was captured at 10 o'clock, September 22, 2016. clouds occupied 5% of the sky, with the equipment scanning in the forward direction. pivotal angles for this capture were a target azimuth of 169.44? and an off-nadir angle of 17.30?. satellite view of a village and house"
ben_212320.jpg,"in the Spring season, this satellite image labeled as 'discontinuous urban fabric, non-irrigated arable land, complex cultivation patterns, land principally occupied by agriculture, with significant areas of natural vegetation' is affiliated with utm zone 33N and timestamped 10 o'clock, May 6, 2018. a satellite view of a green farm field"
fmow_factory_or_powerplant_507_2_rgb.jpg,"an orbital shot over Beauchastel, France in its Summer depicted factory_or_powerplant at the center and center-right blocks. with crisp clarity at a ground sample distance of 1.90m, it's geolocated in utm zone 31T and was timestamped 10 o'clock, July 18, 2012. the atmospheric condition was 0% cloud cover, and scan was reverse. prominent angles were target azimuth: 283.82? and off-nadir: 9.46?. the satellite photo shows a small bridge leading into a large body of water"
fmow_park_710_2_msrgb.jpg,"Musashimurayama, Japan's landscape during Winter was captured with park being evident at the center and top-center blocks. the ground sample distance of this imagery is 1.78m. geo-referencing details point to utm zone 54S and the moment of capture as 1 o'clock, January 19, 2016. atmospheric conditions were marked by a cloud cover rate of 0%, and the scanning was done in a reverse direction. angles associated with this image are target azimuth: 104.63? and off-nadir: 17.65?. an image of snow covered roofs from the satellite view"
